area_type,availability,size,total_sqft,location,bath,LONGITUDE,LATITUDE,balcony,price
Built-up  Area,Ready To Move,2,1033.30902,"Caranzalem,Panaji",3,15.462648,73.804488,1,85
Super built-up  Area,19-Mar,2,98.00078401,"Dodhpur,Aligarh",1,27.244478,77.782574,1,50
Super built-up  Area,Ready To Move,2,1000,"Annanur,Chennai",3,13.10167,80.12833,2,44
Plot  Area,Ready To Move,3,1263.823065,"Balkum,Maharashtra",1,19.222101,72.988231,1,120
Super built-up  Area,Ready To Move,2,1900.137232,"Chembur (East),Mumbai",2,19.05871,72.89969,1,180
Super built-up  Area,18-Apr,2,1030.15546,"Nedumbassery,Kochi",3,10.159679,76.38519,2,55
Super built-up  Area,20-Dec,3,1047.711154,"Patel Nagar,Bhopal",3,23.254675,77.498436,2,32.5
Super built-up  Area,Ready To Move,3,1403.225806,"Cuttack Puri Road,Bhubaneswar",2,20.324661,85.86347,1,87
Super built-up  Area,Ready To Move,3,2185.651839,"Sanjeevini Nagar,Bangalore",2,12.96991,77.59796,2,170
Plot  Area,Ready To Move,2,1078.317901,"Sector-78 Noida,Noida",2,28.560719,77.386208,0,55.9
Super built-up  Area,18-Mar,2,900.1285898,"Padegaon,Aurangabad",2,19.886498,75.295035,2,21
Super built-up  Area,Ready To Move,3,1418.115279,"Kasavanhalli,Bangalore",2,12.9077,77.6755,1,93
Super built-up  Area,Ready To Move,2,1100.16044,"Kaushambi,Ghaziabad",4,28.638934,77.326457,2,48
Super built-up  Area,Ready To Move,2,1150.121065,"Raj Nagar Extension,Ghaziabad",3,26.900926,75.775927,2,38
Built-up  Area,Ready To Move,2,1100.110011,"Kundari Rakabganj,Lucknow",4,26.851529,80.913506,2,40
Super built-up  Area,19-Sep,3,2000,"Vishveseriya Nagar,Jaipur",1,24.090195,87.990011,1,80
Built-up  Area,Ready To Move,3,1200,"New Sitaramdera,Jamshedpur",2,22.8,86.18333,1,42
Built-up  Area,18-Jun,2,995.0248756,"Tathawade,Pune",2,18.6182,73.7447,1,62
Super built-up  Area,Ready To Move,3,1549.966615,"Zirakpur,Chandigarh",2,30.662283,76.822397,2,69.64
Super built-up  Area,Ready To Move,2,1350.063532,"Sector-49 Chandigarh,Chandigarh",4,30.692243,76.750614,3,85
Built-up  Area,Ready To Move,3,1400.295421,"Omarhati,Kolkata",4,22.598052,88.519625,2,47.4
Super built-up  Area,18-Apr,2,998.8971167,"Bannerghatta Road,Bangalore",2,12.808137,77.58308,2,63.4
Super built-up  Area,Ready To Move,2,1051.051051,"Mahalunge,Pune",2,18.573994,73.753171,1,56
Built-up  Area,Ready To Move,2,660.0224408,"Hiranandani Estate,Lalitpur",2,19.255098,72.9815265,0,100
Plot  Area,Ready To Move,3,1450.245426,"Adarsh Nagar,Jabalpur",4,26.906098,75.825254,2,65
Super built-up  Area,Ready To Move,1,505.0505051,"Vengaivasal,Chennai",3,12.89911,80.169,2,20
Super built-up  Area,Ready To Move,3,1460.047783,"Zirakpur,Chandigarh",2,30.662283,76.822397,2,55
Plot  Area,18-Apr,1,730.2231237,"Tarnaka,Secunderabad",4,17.4279,78.536,1,18
Super built-up  Area,Ready To Move,3,1390.654206,"Raj Nagar Extension,Ghaziabad",4,26.900926,75.775927,2,37.2
Plot  Area,Ready To Move,1,484.8484848,"Sidcul NH 73,Haridwar",3,29.96667,78.16667,2,12
Plot  Area,Ready To Move,1,416.4300587,"Kandivali (East),Maharashtra",5,19.1955,72.8728,2,110
Super built-up  Area,Ready To Move,5,1500.078952,"Gkvk Layout,Bangalore",2,13.078221,77.578114,2,190
Super built-up  Area,Ready To Move,1,900,"Nalwadi,Wardha",2,20.751625,78.624557,1,13.5
Super built-up  Area,Ready To Move,2,1050.080775,"Sector-22 Noida,Noida",3,28.595305,77.347365,1,78
Super built-up  Area,Ready To Move,2,1150.747986,"Panch Pakhadi,Maharashtra",3,20.928222,79.842268,2,130
Super built-up  Area,Ready To Move,3,1440.015258,"Sector-74 Noida,Noida",2,28.577673,77.389781,2,75.5
Plot  Area,Ready To Move,3,1403.262586,"Hiranandani Estate,Mumbai",5,19.255098,72.9815265,2,240
Super built-up  Area,Ready To Move,3,1750,"Sector-78 Noida,Noida",3,28.560719,77.386208,2,87.5
Super built-up  Area,18-Dec,2,1152.141802,"Silver Springs Layout,Bangalore",2,12.857176,77.592324,1,78
Super built-up  Area,Ready To Move,2,1295.221081,"Machabolaram,Secunderabad",2,17.45,78.5,0,58
Super built-up  Area,Ready To Move,3,2450.627072,"Hosa Road,Bangalore",2,12.863589,77.656426,2,170
Super built-up  Area,18-Jul,2,800.1488649,"gyan vihar,Ajmer",2,26.469334,74.602014,1,21.5
Super built-up  Area,Ready To Move,2,1035.263669,"Raj Nagar Extension,Ghaziabad",2,26.900926,75.775927,2,32
Built-up  Area,Ready To Move,2,843.6876822,"Kolshet Road,Mumbai",5,19.249861,72.963866,3,110
Super built-up  Area,Ready To Move,3,1249.056604,"Mysore Road,Bangalore",3,12.96991,77.59796,2,66.2
Super built-up  Area,Ready To Move,4,5449.888277,"Armane Nagar,Bangalore",3,13.02375,77.577852,1,1000
Super built-up  Area,18-Jan,2,1055.194805,"Jahangirpura,Surat",3,21.17,72.83,2,26
Super built-up  Area,18-May,3,1400.055448,"Sector 84 Faridabad,Faridabad",2,28.40473,77.367514,1,50.5
Built-up  Area,Ready To Move,1,448.199853,"Ankur Vihar,Ghaziabad",5,28.66667,77.41667,2,12.2
Super built-up  Area,Ready To Move,3,1674.914351,"Whitefield,Bangalore",3,12.9958935,77.761394,0,88
Built-up  Area,Ready To Move,4,4310.344828,"Hebbal Kempapura,Bangalore",5,13.051,77.5962,3,360
Super built-up  Area,21-Dec,3,1746.216531,"Wave City,Ghaziabad",2,28.656129,77.497742,3,45
Plot  Area,Ready To Move,2,1050.328228,"Tonk Road,Jaipur",2,26.16667,75.78333,1,33.6
Super built-up  Area,Ready To Move,3,995.9893048,"Wardha Road,Lalitpur",2,20.75,78.61667,1,14.9
Built-up  Area,Ready To Move,3,67500.67501,"Dombivli (East),Maharashtra",4,19.2167,73.0833,3,7500
Super built-up  Area,19-Jun,3,1492.537313,"College Road,Maharashtra",2,18.96,72.82,1,100
Super built-up  Area,Ready To Move,3,1050,"Teghoria,Kolkata",2,22.620289,88.43493,2,42
Plot  Area,Ready To Move,2,833.8983051,"Nayabad,Kolkata",1,22.483471,88.417711,0,24.6
Built-up  Area,17-Jun,2,761.0350076,"Singaperumal koil,Chennai",2,12.760339,80.004278,1,30
Super built-up  Area,Ready To Move,3,2181.241325,"Rajarhat,Kolkata",2,22.54111,88.33778,1,110
Built-up  Area,Ready To Move,3,1580.146873,"Zirakpur,Chandigarh",3,30.662283,76.822397,3,62.4
Super built-up  Area,Ready To Move,3,1730.103806,"Kothrud,Pune",2,18.5101,73.8141,1,200
Plot  Area,Ready To Move,2,1240.265359,"Thondamuthur,Coimbatore",4,11.00972,76.82806,3,43
Super built-up  Area,Ready To Move,2,1000,"Sunny Enclave,Mohali",5,30.664299,76.817624,0,28.5
Built-up  Area,18-Apr,2,1400.032308,"Andheri (East),Mumbai",2,19.1145,72.8712,2,260
Super built-up  Area,Ready To Move,3,1795.332136,"Sector-77 Noida,Noida",2,28.568096,77.390253,1,100
Plot  Area,Ready To Move,2,1380.002509,"Richards Town,Bangalore",5,13.0034,77.6137,2,110
Plot  Area,Ready To Move,4,2284.61187,"Chembur,Mumbai",6,19.05871,72.89969,3,450
Plot  Area,Ready To Move,2,948,"Besa,Maharashtra",7,21.086981,79.088393,3,23.7
Plot  Area,Ready To Move,4,5300,"Wood Street,Kolkata",2,22.54111,88.33778,0,1060
Super built-up  Area,Ready To Move,2,1051.267814,"Ravet,Pune",2,18.651598,73.735448,1,56.8
Built-up  Area,Ready To Move,3,1590.457256,"Sector-126 Mohali,Mohali",1,30.756258,76.655851,1,48
Super built-up  Area,Ready To Move,2,965.3270292,"Bhopura,Ghaziabad",2,28.698133,77.335746,1,24.5
Super built-up  Area,Ready To Move,3,1754.98426,"Mohali,Chandigarh",2,30.696627,76.693764,3,66.9
Built-up  Area,Ready To Move,5,3499.952273,"Chembur,Mumbai",1,19.05871,72.89969,1,1100
Built-up  Area,Ready To Move,2,906.2661833,"Patel Colony,Jamnagar",2,22.485666,70.058918,2,17.5
Super built-up  Area,Ready To Move,3,1250,"Harish Nagar,Agra",1,22.699244,88.450084,1,34
Plot  Area,18-May,2,907.2058061,"Ghogali Besa,Nagaur",2,27.16092,73.384903,0,35
Super built-up  Area,Ready To Move,3,1040.118871,"Kaloor,Kochi",2,9.994,76.292,2,49
Super built-up  Area,Ready To Move,4,3087.341898,"Hebbal,Bangalore",2,13.04034,77.591347,2,310
Built-up  Area,Ready To Move,6,10780.2183,"Vesu,Surat",3,21.143354,72.770931,1,800
Super built-up  Area,Ready To Move,3,1765.002521,"Ajmer Road,Jaipur",2,26.928785,75.828002,2,35
Plot  Area,Ready To Move,2,769.8229407,"Ayodhya Nagar,Jalgaon",3,21.052338,75.055548,1,30
Built-up  Area,Ready To Move,2,955.1424186,"Sector-77 Noida,Noida",2,28.568096,77.390253,3,56
Super built-up  Area,Ready To Move,2,1162.340178,"Tilak Nagar,Mumbai",2,19.068492,72.898896,2,210
Super built-up  Area,Ready To Move,3,2029.215624,"Sector 82 Faridabad,Faridabad",4,28.394375,77.357227,2,63.9
Super built-up  Area,Ready To Move,3,1280.227596,"Narendrapur,Kolkata",2,22.43917,88.39583,1,36
Super built-up  Area,Ready To Move,2,700.2188184,"Ganguly Bagan,Kolkata",1,22.479986,88.372755,1,16
Super built-up  Area,Ready To Move,4,2549.519514,"PAL,Surat",2,21.17,72.83,1,130
Super built-up  Area,20-Dec,2,1118.681989,"Kanakpura Road,Bangalore",2,12.896796,77.5724,1,110
Super built-up  Area,Ready To Move,3,1475.008738,"Raj Nagar Extension,Ghaziabad",3,26.900926,75.775927,2,42.2
Super built-up  Area,Ready To Move,3,1692.047377,"Sector-13 Nerul,Lalitpur",2,29.134525,75.734764,2,210
Super built-up  Area,Ready To Move,3,720.0164575,"Sector 3 Faridabad,Faridabad",4,28.351646,77.33536,,35
Plot  Area,Ready To Move,3,2425.015954,"Kogilu,Bangalore",4,13.092356,77.613468,1,190
Super built-up  Area,Ready To Move,3,2211.981567,"Zirakpur,Chandigarh",2,30.662283,76.822397,0,120
Built-up  Area,18-Aug,4,2250,"Pedagantyada,Visakhapatnam",2,17.6672,83.2051,2,67.5
Super built-up  Area,Ready To Move,3,1550.087192,"Sector-93 Noida,Noida",3,28.5216,77.3863,1,80
Super built-up  Area,Ready To Move,1,637.5,"Sector-26 Taloja,Mumbai",3,19.076057,73.097319,2,30.6
Super built-up  Area,Ready To Move,2,1213.040182,"Kanjur Marg (East),Mumbai",4,19.221571,73.042474,2,160
Super built-up  Area,18-Feb,3,1068.319,"Kolshet Road,Lalitpur",2,24.69028,78.41889,1,200
Built-up  Area,Ready To Move,2,782.3784304,"Panvel,Maharashtra",1,18.966114,73.148278,1,65
Built-up  Area,18-Dec,2,1358.203549,"Baner,Pune",2,18.558319,73.77588,1,75
Plot  Area,18-Aug,3,1600,"Sevoke Road,Siliguri",4,26.724219,88.326357,1,52
Super built-up  Area,Ready To Move,3,1379.500621,"Gajuwaka,Visakhapatnam",2,17.7,83.2167,3,300
Built-up  Area,Ready To Move,2,1327.345309,"Pholriwal,Jalandhar",3,31.261414,75.589997,2,39.9
Super built-up  Area,17-Dec,2,709.375,"Sevoke Road,Siliguri",2,26.724219,88.326357,1,22.7
Plot  Area,Ready To Move,2,771.0557533,"Behala,Kolkata",4,22.498882,88.317556,1,26
Super built-up  Area,Ready To Move,2,859.9931201,"Sector-78 Noida,Noida",2,28.560719,77.386208,2,50
Plot  Area,Ready To Move,2,1205.098494,"Digha,Patna",3,25.648546,85.096137,0,52
Super built-up  Area,18-Apr,3,1213.872832,"Wadala,Maharashtra",2,19.015576,72.851441,1,420
Built-up  Area,Ready To Move,4,4975.124378,"Rachenahalli,Bangalore",3,13.219742,76.698537,2,450
Super built-up  Area,18-Nov,3,1799.972308,"Parel,Mumbai",1,42.049481,-87.681841,0,390
Super built-up  Area,Ready To Move,2,1130.059585,"Kothanur,Bangalore",3,12.581437,77.322174,2,55
Super built-up  Area,Ready To Move,3,1483.136936,"Moshi,Pune",2,18.669919,73.853723,2,73
Super built-up  Area,Ready To Move,2,791.1392405,"Behala,Kolkata",2,22.498882,88.317556,2,35
Super built-up  Area,Ready To Move,3,1754.385965,"Sholinganallur,Chennai",2,12.90015,80.22791,3,100
Super built-up  Area,21-Dec,3,1100.352113,"Idgah Hills,Bhopal",2,23.275614,77.378878,1,25
Super built-up  Area,Ready To Move,2,507.6142132,"Ambernath,Maharashtra",3,19.193771,73.197892,2,29
Built-up  Area,Ready To Move,3,1876.172608,"Yeshwanthpur,Bangalore",2,12.96991,77.59796,2,160
Super built-up  Area,Ready To Move,2,1110.084965,"Sector-93 B Noida,Noida",2,28.5216,77.3863,1,60.1
Super built-up  Area,Ready To Move,3,1773.723553,"Hoodi,Bangalore",3,12.989437,77.717806,2,140
Super built-up  Area,Ready To Move,3,675.0067501,"Dombivli (East),Lalitpur",2,19.2167,73.0833,2,75
Built-up  Area,Ready To Move,2,900.140647,"Besa,Lalitpur",2,24.69028,78.41889,1,25.6
Built-up  Area,Ready To Move,3,2000.444543,"Andheri (East),Lalitpur",7,19.1145,72.8712,0,360
Super built-up  Area,Ready To Move,3,1614.583333,"Sector-150 Noida,Noida",2,28.429614,77.481711,1,77.5
Built-up  Area,Ready To Move,4,2238.137869,"Sector-3 Vaishali,Ghaziabad",2,28.6423,77.3445,0,100
Super built-up  Area,Ready To Move,3,1240,"Madurdaha,Kolkata",3,22.54111,88.33778,3,62
Built-up  Area,Ready To Move,2,962.2222222,"Nagarbhavi,Bangalore",3,12.957468,77.516563,2,43.3
Plot  Area,Ready To Move,3,1358.30712,"Sushant Golf City,Lucknow",6,26.781748,81.006714,3,47.5
Super built-up  Area,Ready To Move,2,1110.340042,"James Long Sarani,Kolkata",2,22.54111,88.33778,0,32
Plot  Area,Ready To Move,2,1225.02827,"Vaibhav Khand,Ghaziabad",5,28.9196,76.8972,3,65
Super built-up  Area,Ready To Move,4,2500,"Subramanya Nagar,Bangalore",3,12.42773,75.72456,2,300
Super built-up  Area,18-Feb,2,1049.723757,"Kalwar Road,Jaipur",2,26.9883,75.5846,1,19
Built-up  Area,Ready To Move,1,506.3829787,"Mahim,Palghar",2,19.6394,72.7256,2,11.9
Super built-up  Area,Ready To Move,3,1256.077796,"Mukundapur,Kolkata",2,22.491565,88.402473,1,62
Super built-up  Area,18-Apr,3,2090.106828,"EPIP Zone,Bangalore",3,12.880475,75.022346,1,180
Built-up  Area,Ready To Move,3,2083.263331,"Juhu Scheme,Lalitpur",2,19.1026,72.8243,3,620
Super built-up  Area,Ready To Move,2,1095.156972,"Gandhi Path,Jaipur",2,25.879721,86.587391,2,45
Built-up  Area,14-Jul,1,672.2418784,"Adajan,Surat",2,24.395822,78.989627,2,20.9
Super built-up  Area,Ready To Move,2,1050,"Thakur Village,Lalitpur",2,12.91668,77.59196,2,210
Built-up  Area,Ready To Move,3,2122.015915,"Ajmer Road,Jaipur",2,26.928785,75.828002,1,48
Super built-up  Area,Ready To Move,3,2000,"Adityapur,Jamshedpur",2,22.7808,86.1522,2,85
Super built-up  Area,19-Mar,3,1298.040214,"Nagarbhavi,Bangalore",2,12.957468,77.516563,1,51
Super built-up  Area,Ready To Move,1,343.8914027,"Neral,Lalitpur",2,27.673793,85.325643,2,15.2
Super built-up  Area,Ready To Move,4,3984.313725,"Andheri (West),Mumbai",2,19.139348,72.820458,3,1270
Built-up  Area,Ready To Move,4,200,"Sector-47 Chandigarh,Chandigarh",2,30.73528,76.79111,2,40
Super built-up  Area,Ready To Move,3,1133.033796,"Picnic Garden,Kolkata",3,22.54111,88.33778,2,58
Super built-up  Area,Ready To Move,2,860.0917431,"Chatrapati Chowk Purna Road,Nanded",2,19.179189,77.033762,2,30
Super built-up  Area,18-May,3,1150.086256,"Kaggalipura,Bangalore",3,12.900976,76.891937,2,60
Super built-up  Area,Ready To Move,2,1200.030001,"Laxmi Nagar,Mumbai",2,22.281215,70.789479,1,160
Super built-up  Area,19-Dec,2,860.3174603,"Rajakilpakkam,Chennai",3,13.09,80.27,1,54.2
Super built-up  Area,Ready To Move,4,2254.791432,"Sector-106 Gurgaon,Gurgaon",2,28.50437,76.996356,1,140
Plot  Area,Ready To Move,3,923.9940387,"Attibele,Bangalore",1,12.7768,77.76887,1,31
Built-up  Area,Ready To Move,3,1850.016518,"Peer Muchalla,Panchkula",8,30.660437,76.861517,,56
Super built-up  Area,Ready To Move,3,1350.308642,"Gandhi Path,Jaipur",4,25.879721,86.587391,2,35
Super built-up  Area,Ready To Move,2,1334.289813,"Sector-15 Bahadurgarh,Bahadurgarh",3,30.752321,76.772816,2,27.9
Built-up  Area,Ready To Move,2,1619.433198,"Govind Puram,Ghaziabad",2,28.66667,77.41667,2,20
Built-up  Area,Ready To Move,2,1161.061349,"Budigere,Bangalore",2,13.141581,77.749756,1,68.7
Super built-up  Area,Ready To Move,1,720.0378967,"Malad (East),Lalitpur",3,19.1758,72.8643,2,76
Built-up  Area,Ready To Move,4,3260.160835,"New Town,Kolkata",2,22.5922,88.484911,2,150
Super built-up  Area,Ready To Move,3,148828.8288,"Sahakara Nagar,Bangalore",2,13.064,77.58,1,8260
Super built-up  Area,Ready To Move,3,1764.913519,"Sector-10/B Ulwe,Lalitpur",2,30.688668,76.847349,3,200
Built-up  Area,Ready To Move,3,1481.481481,"HSR Layout,Bangalore",4,12.91,77.64,0,100
Plot  Area,Ready To Move,2,820.0754469,"Virar West,Lalitpur",3,19.4559,72.8114,1,50
Super built-up  Area,Ready To Move,2,1230.186894,"Vignana Nagar,Bangalore",3,12.973432,77.68242,,52
Super built-up  Area,Ready To Move,2,1044.008995,"Lokhandwala Kandivali East,Lalitpur",3,19.1955,72.8728,,130
Super built-up  Area,Ready To Move,2,1150.035386,"Sector-61 Noida,Noida",2,28.5942,77.3675,1,65
Super built-up  Area,Ready To Move,3,1825.37268,"PAL,Surat",2,21.17,72.83,2,60
Plot  Area,Ready To Move,3,873.1717966,"Kharghar,Mumbai",4,19.038205,73.06612,2,120
Super built-up  Area,Ready To Move,2,649.0478041,"Khanda Colony,Mumbai",2,18.96667,72.83333,1,83.5
Super built-up  Area,Ready To Move,2,1180.03181,"Raheja Vihar,Maharashtra",2,18.930697,72.82609,3,230
Super built-up  Area,Ready To Move,2,790.4761905,"Nanmangalam,Chennai",3,12.940685,80.177022,1,33.2
Super built-up  Area,18-Jun,3,1445.141662,"Sector-76 Noida,Noida",2,28.567633,77.383124,2,76
Plot  Area,Ready To Move,3,1625.094482,"Sector 80 Faridabad,Faridabad",4,28.381971,77.347688,1,64.5
Plot  Area,Ready To Move,2,1204.045593,"HBR Layout,Bangalore",4,13.037343,77.628291,2,75
Super built-up  Area,Ready To Move,2,1171.137136,"Sector-100 Noida,Noida",2,28.542768,77.365736,1,62
Super built-up  Area,18-Apr,3,971.4285714,"Nettoor,Kochi",2,9.930471,76.271273,1,34
Super built-up  Area,Ready To Move,2,1069.047619,"Sector-137 Noida,Noida",3,28.506454,77.409568,2,44.9
Super built-up  Area,19-Mar,2,1220.188575,"NH-74,Rudrapur",2,28.97083,79.39722,1,22
Super built-up  Area,Ready To Move,2,834.2857143,"Kestopur,Kolkata",1,22.605438,88.422084,1,29.2
Built-up  Area,Ready To Move,3,1410.146174,"Akshaya Nagar,Bangalore",3,12.96991,77.59796,3,82
Super built-up  Area,Ready To Move,3,1637.660485,"Govind Puram,Ghaziabad",2,28.66667,77.41667,3,57.4
Super built-up  Area,19-Mar,3,1686.874012,"Sector-93 A Noida,Noida",2,21,77,1,160
Super built-up  Area,Ready To Move,4,2838.328792,"Marine Drive,Kochi",2,9.9800255,76.275303,1,250
Super built-up  Area,Ready To Move,3,1073.191672,"Tilak Nagar,Maharashtra",2,19.068492,72.898896,2,200
Super built-up  Area,18-Aug,2,1082.251082,"Modipuram,Meerut",2,28.9927,77.6824,1,40
Built-up  Area,Ready To Move,2,1200.135227,"Satindra Pally,Kolkata",2,22.65,88.34,2,35.5
Super built-up  Area,Ready To Move,2,10541.47465,"Ghodbunder Road,Lalitpur",2,24.69028,78.41889,2,91.5
Super built-up  Area,17-Aug,3,1664.305949,"Nipania,Indore",2,22.760061,75.928572,2,47
Super built-up  Area,Ready To Move,2,1254.045307,"Thanisandra,Bangalore",2,13.055985,77.622157,1,62
Super built-up  Area,Ready To Move,2,1100.009167,"Kolshet Road,Maharashtra",2,19.249861,72.963866,1,120
Super built-up  Area,Ready To Move,2,707.1380921,"Tathawade,Pune",5,18.6182,73.7447,3,53
Plot  Area,Ready To Move,2,957.090445,"Bhumkar Nagar,Pune",6,18.52783,73.875757,,60
Super built-up  Area,Ready To Move,3,1450,"Palanpur,Surat",2,21.17,72.83,1,46.4
Plot  Area,Ready To Move,2,1150.020721,"Sector-74 Noida,Noida",1,28.577673,77.389781,1,55.5
Super built-up  Area,Ready To Move,3,1362.271993,"Bara Nagar,Kolkata",3,26.44017,88.995434,2,59
Super built-up  Area,Ready To Move,2,1110.095338,"Kharghar,Mumbai",2,19.038205,73.06612,2,85
Plot  Area,Ready To Move,2,1045.178692,"Sector 70 Faridabad,Faridabad",10,28.340575,77.348933,2,31
Plot  Area,Ready To Move,2,950.0998004,"Sector 89 Faridabad,Faridabad",4,28.431903,77.364821,1,23.8
Super built-up  Area,Ready To Move,1,670.0278625,"Khandeshwar,Mumbai",2,19.009356,73.095809,2,50.5
Plot  Area,Ready To Move,3,1818.482394,"Manpada,Mumbai",5,19.239813,72.962722,2,220
Plot  Area,Ready To Move,2,1000,"Sardarnagar,Bhavnagar",4,21.765,72.13694,2,25
Plot  Area,Ready To Move,3,985.2216749,"Barasat,Kolkata",6,22.747639,88.600902,2,26
Super built-up  Area,20-Dec,3,1367.61488,"New Panvel,Lalitpur",2,18.966114,73.148278,1,100
Super built-up  Area,Ready To Move,2,850.3401361,"Sector-49 Noida,Noida",3,28.564519,77.366816,1,15
Built-up  Area,Ready To Move,4,2141.491396,"Sector 77 Faridabad,Faridabad",2,28.368269,77.37273,1,56
Built-up  Area,Ready To Move,3,1400,"Sector-77 Noida,Noida",1,28.568096,77.390253,2,72.8
Built-up  Area,18-May,3,1450,"Civil Lines,Kanpur",2,28.67937,77.22608,2,87
Super built-up  Area,Ready To Move,2,1161.369193,"Kalwar Road,Jaipur",3,26.9883,75.5846,2,19
Plot  Area,Ready To Move,3,1331.164029,"Bapu Nagar,Jaipur",5,26.889691,75.809058,1,90
Built-up  Area,Ready To Move,2,750.0986972,"Baguihati,Kolkata",6,22.617564,88.427982,0,38
Super built-up  Area,Ready To Move,3,1804.966096,"Powai,Mumbai",2,19.12,72.91,2,370
Plot  Area,Ready To Move,2,1204.04765,"Wadgaon Sheri,Pune",4,18.549645,73.924971,1,94
Super built-up  Area,Ready To Move,2,755.1553877,"Ariadaha,Kolkata",2,22.54111,88.33778,1,26
Built-up  Area,Ready To Move,1,550.0354862,"Sector-9 Ghansoli,Lalitpur",3,28.716907,77.124699,0,62
Super built-up  Area,Ready To Move,2,1095.322676,"Raj Nagar Extension,Ghaziabad",4,26.900926,75.775927,3,37
Super built-up  Area,Ready To Move,2,1120.042166,"Rajiv Nagar,Chennai",4,30.128184,74.197449,2,85
Super built-up  Area,Ready To Move,3,1663.46769,"Zirakpur,Chandigarh",4,30.662283,76.822397,1,52
Plot  Area,Ready To Move,2,1000,"Simhachalam,Visakhapatnam",1,17.762595,83.221873,0,36
Built-up  Area,Ready To Move,2,780.2340702,"Jainpur Meerut,Meerut",3,28.939024,77.689176,2,18
Plot  Area,17-Dec,4,2856.201252,"Sahastradhara,Dehradun",4,30.382066,78.123734,0,260
Super built-up  Area,Ready To Move,1,500,"Naigaon (East),Mumbai",3,19.35269,72.864824,3,21.3
Super built-up  Area,18-Apr,1,721.8913554,"Budigere,Bangalore",2,13.141581,77.749756,2,40
Super built-up  Area,Ready To Move,3,1471.361009,"BTM Layout,Bangalore",1,12.96991,77.59796,2,140
Built-up  Area,Ready To Move,2,1100.110011,"Doddakannelli,Bangalore",2,12.905538,77.694263,3,70
Super built-up  Area,18-Jul,2,1200.274348,"Sector-20 Panchkula,Panchkula",3,30.6665,76.8625,2,35
Super built-up  Area,Ready To Move,3,2180.232558,"Whitefield,Bangalore",2,12.9958935,77.761394,,180
Super built-up  Area,Ready To Move,3,2039.72088,"Sector 82 Faridabad,Faridabad",4,28.394375,77.357227,2,76
Super built-up  Area,Ready To Move,3,1180.124224,"Mondal Ganthi,Kolkata",2,22.54111,88.33778,2,57
Super built-up  Area,Ready To Move,1,701.2622721,"Hathoj,Jaipur",3,26.96,75.6809,2,20
Plot  Area,Ready To Move,2,972.1608484,"Action Area I,Kolkata",3,22.54111,88.33778,2,44
Built-up  Area,Ready To Move,2,1224.204267,"Sunpharma Road,Vadodara",3,22.3,73.2,3,35
Super built-up  Area,21-Dec,3,1150.020125,"Andheri (West),Mumbai",1,19.139348,72.820458,0,400
Built-up  Area,18-Dec,1,725.966682,"Tilak Nagar,Mumbai",2,19.068492,72.898896,1,95
Super built-up  Area,Ready To Move,2,805.1784023,"Patel Nagar,Bhopal",4,23.254675,77.498436,1,25.5
Super built-up  Area,Ready To Move,2,1094.420601,"Sector-88 Mohali,Mohali",2,30.684523,76.691728,1,51
Built-up  Area,Ready To Move,2,594.0510035,"Mulund (West),Maharashtra",2,19.1759,72.9522,1,140
Super built-up  Area,Ready To Move,3,1265.111049,"Hulimavu,Bangalore",2,12.876691,77.59908,2,90
Super built-up  Area,Ready To Move,2,807.9719903,"Mehrauli,Ghaziabad",2,28.51583,77.1775,2,30
Super built-up  Area,Ready To Move,3,1350,"Bhayli,Vadodara",3,22.288976,73.128222,2,27
Super built-up  Area,Ready To Move,3,1695.269987,"Sector-77 Noida,Noida",2,28.568096,77.390253,3,81
Super built-up  Area,Ready To Move,2,900.0423549,"Clover Park,Pune",2,18.52361,73.84778,2,85
Plot  Area,Ready To Move,3,1619.87041,"Gariahat,Kolkata",2,22.517786,88.366066,1,180
Super built-up  Area,18-Mar,2,1178.054527,"Panchavati,Jamnagar",2,23.118635,70.022051,3,35
Plot  Area,Ready To Move,1,468.0187207,"Kolshet Road,Maharashtra",4,19.249861,72.963866,2,72
Super built-up  Area,Ready To Move,3,1449.975834,"Law College Road,Pune",6,18.5115,73.8263,2,210
Built-up  Area,17-Dec,2,1092.028194,"Sector 19 Kharghar,Lalitpur",4,19.048979,73.078232,1,110
Super built-up  Area,Ready To Move,2,1195.355191,"Thrikkakara,Kochi",3,9.930471,76.271273,2,35
Built-up  Area,Ready To Move,2,826.3974972,"Kanjur Marg (East),Mumbai",2,19.221571,73.042474,3,140
Super built-up  Area,17-Oct,4,2456.93307,"Gomti Nagar Extension,Lucknow",2,21,77,1,87
Super built-up  Area,Ready To Move,3,1294.915254,"Madhyamgram,Kolkata",2,22.7,88.45,2,38.2
Plot  Area,Ready To Move,3,1875,"Gangapuram,Ghaziabad",4,28.66667,77.41667,2,51
Super built-up  Area,Ready To Move,3,1539.82825,"Jagatpura,Jaipur",2,26.832353,75.841749,2,52
Plot  Area,18-Jul,1,724.1501416,"Dombivli (East),Maharashtra",3,19.2167,73.0833,1,40.9
Super built-up  Area,Ready To Move,3,1575.091575,"Sector-78 Noida,Noida",3,28.560719,77.386208,3,86
Built-up  Area,18-Aug,3,1440.092166,"Rajaji Puram,Lucknow",2,26.836478,80.872611,1,50
Super built-up  Area,Ready To Move,2,899.7429306,"Vengaivasal,Chennai",5,12.89911,80.169,1,28
